,Artist ID,Artist name,Album ID,Album name,Album release date,Track ID,Track name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
188,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,5OXCK2FlyxVIuLr4BRg0Lw,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",2019-06-03,6aPMWbbdhDhiJHlknZb9Yx,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",0.265,0.58,-4.767,0,0.0491,0.491,0,0.243,0.345,172.121,370444,3
189,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,3I8PdIhk6pNm8Kv0HiF14V,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",0.427,0.396,-7.556,1,0.0366,0.736,0,0.11,0.306,70.368,284780,4
190,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,047GUZg54lWu3GZnZAGrvN,Alia Dance,2019-05-20,6OIkSrD9nP1YXjelgW08wP,Alia Dance,0.523,0.977,-9.063,1,0.0342,0.00108,0.521,0.356,0.941,124.977,165358,4
191,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7gB9m0DDHEAF3q19W6nGoS,"Dil Royi Jaye (From ""De De Pyaar De"")",2019-05-14,4TADw9oW8H90ZK1NsEDYyz,"Dil Royi Jaye (From ""De De Pyaar De"")",0.593,0.521,-7.694,1,0.0269,0.731,0,0.113,0.542,99.031,256800,4
192,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,27pajpW7WON19MM1aA4ltH,"Tu Mila To Haina (From ""De De Pyaar De"")",2019-04-22,4ZoIQLHOAD6jwsQ0daI5M2,"Tu Mila To Haina (From ""De De Pyaar De"")",0.552,0.528,-8.787,1,0.0333,0.534,6.57e-06,0.0815,0.339,123.054,325641,4
193,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,6hty1BJAOFdEm4URQqFyL0,"Mere Pyare Prime Minister Title Track (From ""Mere Pyare Prime Minister"")",2019-02-22,5KfY3YH69hOSjoPDwGhhF1,"Mere Pyare Prime Minister Title Track - From ""Mere Pyare Prime Minister""",0.488,0.596,-7.567,1,0.0655,0.0142,0.000178,0.0898,0.47,97.039,222276,4
194,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,3JChVPg4QSOOJOCDJka33V,Le Jaa Tu Kahin,2018-11-20,4LEonC8GGn6cWzCqisoJ6W,Le Jaa Tu Kahin,0.535,0.555,-5.112,1,0.0279,0.489,0,0.0855,0.259,119.978,220000,4
195,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,4QCM8VlhhlwZtQ2Ew7gtIg,Pal,2018-09-14,5G7pZ8G8NFvS1MQ9H4L7dC,Pal,0.511,0.502,-7.016,0,0.0325,0.711,0,0.0708,0.322,133.875,247286,4
196,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0GFMey2Er93DmvP5FI3Qfh,"Chota Sa Fasana (From ""Karwaan"")",2018-07-10,1mUZjjDDxA5Iy5RlBiZkX4,Chota Sa Fasana,0.528,0.63,-7.961,1,0.0342,0.579,0.0355,0.102,0.202,111.94,244077,4
197,4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,7yO4NM0VMj0DbI8gDIRn0V,Pal Pal Dil Ke Paas,2019-08-29,2fcVqifxMkKgZGMKDxEwVO,Aadha Bhi Zyaada,0.797,0.725,-5.495,1,0.0944,0.00814,5.81e-06,0.319,0.622,96.0,181875,4
198,4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,7yO4NM0VMj0DbI8gDIRn0V,Pal Pal Dil Ke Paas,2019-08-29,5CiHCfXZQyQEkmSeEj39PF,Pal Pal Dil Ke Paas- Title Track,0.56,0.512,-7.185,0,0.0333,0.592,0,0.056,0.39,123.991,254516,4
